experiment_id,split,studies,feature_extractor,decoder,projector,training_regime,checkpoint,prediction_sha256,BLEU_1,BLEU_2,BLEU_3,BLEU_4,ROUGE_L,ROUGE_1,ROUGE_2,ROUGE_L_F1,METEOR,CIDEr,BERTScore,CheXbert_14_micro_F1,CheXbert_14_macro_F1,CheXbert_5_micro_F1,RadGraph,GREEN,metric_availability
cvt2distilgpt2_official,IU R2Gen test,590,CvT-21-384x384-IN-22k,DistilGPT2 IU checkpoint,Linear 384->768 (original),original pretrained checkpoint,models/cvt2distilgpt2-iu/epoch=10-val_chen_cider=0.475024.ckpt,0a115e76ee97b34e7e7aaa5bb122ba2a924c3a8092de563d63500133ddee7042,0.47227036395144906,0.30238384573536914,0.22269366334525686,0.17395981381825404,0.3749589502911679,0.43027560646642665,0.1874308814343413,0.32598522815141306,0.19933756963009583,0.6850282106988441,,0.5434782608695652,0.04815409309791332,0.0,,,"{""bertscore"": {""reason"": ""ValueError: not enough values to unpack (expected 4, got 2)"", ""status"": ""NOT AVAILABLE""}, ""bleu"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\comparison\\metric_bleu.json"", ""status"": ""AVAILABLE""}, ""chexbert"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\comparison\\metric_chexbert.json"", ""status"": ""AVAILABLE""}, ""cider"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\comparison\\metric_cider.json"", ""status"": ""AVAILABLE""}, ""green"": {""reason"": ""RuntimeError: GREEN has no configured local checkpoint in this experiment; it is not approximated"", ""status"": ""NOT AVAILABLE""}, ""meteor"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\comparison\\metric_meteor.json"", ""status"": ""AVAILABLE""}, ""radgraph"": {""reason"": ""OSError: We couldn't connect to 'https://huggingface.co' to load this file, couldn't find it in the cached files and it looks like microsoft/BiomedVLP-CXR-BERT-general is not the path to a directory containing a file named config.json.\nCheckout your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'."", ""status"": ""NOT AVAILABLE""}, ""rouge_coco"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\comparison\\metric_rouge_coco.json"", ""status"": ""AVAILABLE""}, ""rouge_f1"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\comparison\\metric_rouge_f1.json"", ""status"": ""AVAILABLE""}}"
biovilt_distilgpt2_b1,IU R2Gen test,590,Microsoft BioViL-T (frozen),DistilGPT2 IU checkpoint (frozen),Linear 512->768,projector-only B1,models/biovilt2distilgpt2/full/biovilt_projector_stage1_best.pt,88efe6cc503f5cb21ab33bfb22d2dfffbac4d8961bdd82ffcc1be22a48615843,0.4284646434444397,0.2544868615058076,0.1793703362979609,0.1357600285367487,0.3408314369411926,0.379473221829321,0.1529768897723749,0.28881658829650675,0.17469382296363314,0.5277741043833877,,0.5434782608695652,0.04815409309791332,0.0,,,"{""bertscore"": {""reason"": ""ValueError: not enough values to unpack (expected 4, got 2)"", ""status"": ""NOT AVAILABLE""}, ""bleu"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B1\\metric_bleu.json"", ""status"": ""AVAILABLE""}, ""chexbert"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B1\\metric_chexbert.json"", ""status"": ""AVAILABLE""}, ""cider"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B1\\metric_cider.json"", ""status"": ""AVAILABLE""}, ""green"": {""reason"": ""RuntimeError: GREEN has no configured local checkpoint in this experiment; it is not approximated"", ""status"": ""NOT AVAILABLE""}, ""meteor"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B1\\metric_meteor.json"", ""status"": ""AVAILABLE""}, ""radgraph"": {""reason"": ""OSError: We couldn't connect to 'https://huggingface.co' to load this file, couldn't find it in the cached files and it looks like microsoft/BiomedVLP-CXR-BERT-general is not the path to a directory containing a file named config.json.\nCheckout your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'."", ""status"": ""NOT AVAILABLE""}, ""rouge_coco"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B1\\metric_rouge_coco.json"", ""status"": ""AVAILABLE""}, ""rouge_f1"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B1\\metric_rouge_f1.json"", ""status"": ""AVAILABLE""}}"
biovilt_distilgpt2_b2,IU R2Gen test,590,Microsoft BioViL-T (frozen),DistilGPT2 IU checkpoint (fine-tuned),Linear 512->768,projector + decoder B2,models/biovilt2distilgpt2/full/biovilt2distilgpt2_best.pt,a6f0452d8a8442ce363669813c4026d82912787d8bc8c493956f5bf79275f1f2,0.4894470240607593,0.30904111260568223,0.21709728168817147,0.1564097694875117,0.37013971872813695,0.44869304629354867,0.18099511797276635,0.3217644235781612,0.20410793657758047,0.47762657410239645,,0.532967032967033,0.04734786853237878,0.0,,,"{""bertscore"": {""reason"": ""ValueError: not enough values to unpack (expected 4, got 2)"", ""status"": ""NOT AVAILABLE""}, ""bleu"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B2\\metric_bleu.json"", ""status"": ""AVAILABLE""}, ""chexbert"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B2\\metric_chexbert.json"", ""status"": ""AVAILABLE""}, ""cider"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B2\\metric_cider.json"", ""status"": ""AVAILABLE""}, ""green"": {""reason"": ""RuntimeError: GREEN has no configured local checkpoint in this experiment; it is not approximated"", ""status"": ""NOT AVAILABLE""}, ""meteor"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B2\\metric_meteor.json"", ""status"": ""AVAILABLE""}, ""radgraph"": {""reason"": ""OSError: We couldn't connect to 'https://huggingface.co' to load this file, couldn't find it in the cached files and it looks like microsoft/BiomedVLP-CXR-BERT-general is not the path to a directory containing a file named config.json.\nCheckout your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'."", ""status"": ""NOT AVAILABLE""}, ""rouge_coco"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B2\\metric_rouge_coco.json"", ""status"": ""AVAILABLE""}, ""rouge_f1"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\full\\B2\\metric_rouge_f1.json"", ""status"": ""AVAILABLE""}}"
biovilt_distilgpt2_clinical,IU R2Gen test,590,Microsoft BioViL-T (frozen),DistilGPT2 B2 decoder (fine-tuned),MLP 512->1024->768 + clinical head,report CE + CheXbert auxiliary loss,models/biovilt2distilgpt2-clinical/best.pt,0ac710dced1c342f7e032aaae8132c80f9378a665d1c0709013fbc4f2f335d92,0.42657028913258094,0.2514986845431782,0.17674299810407285,0.133524306097174,0.33841766059115586,0.37646757786955853,0.15019498849798377,0.2861900645058589,0.1730567810678326,0.5254278140194028,,0.5434782608695652,0.04815409309791332,0.0,,,"{""bertscore"": {""reason"": ""ValueError: not enough values to unpack (expected 4, got 2)"", ""status"": ""NOT AVAILABLE""}, ""bleu"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\clinical\\metric_bleu.json"", ""status"": ""AVAILABLE""}, ""chexbert"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\clinical\\metric_chexbert.json"", ""status"": ""AVAILABLE""}, ""cider"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\clinical\\metric_cider.json"", ""status"": ""AVAILABLE""}, ""green"": {""reason"": ""RuntimeError: GREEN has no configured local checkpoint in this experiment; it is not approximated"", ""status"": ""NOT AVAILABLE""}, ""meteor"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\clinical\\metric_meteor.json"", ""status"": ""AVAILABLE""}, ""radgraph"": {""reason"": ""OSError: We couldn't connect to 'https://huggingface.co' to load this file, couldn't find it in the cached files and it looks like microsoft/BiomedVLP-CXR-BERT-general is not the path to a directory containing a file named config.json.\nCheckout your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'."", ""status"": ""NOT AVAILABLE""}, ""rouge_coco"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\clinical\\metric_rouge_coco.json"", ""status"": ""AVAILABLE""}, ""rouge_f1"": {""details"": ""C:\\Users\\Ayman\\Desktop\\Codex projects\\Agentic AI\\experiments\\biovilt2distilgpt2\\outputs\\clinical\\metric_rouge_f1.json"", ""status"": ""AVAILABLE""}}"

